label,x,y,z,dtseries_row_i,left_hemi,first_rdm_corr,replication_rdm_corr,y_third
59.0,-32.09830665588379,-30.2887069952749,59.15541831246258,5605.759124087591,1.0,0.0662385648405479,0.1438914583144614,2.0
60.0,-29.56986607245679,-37.247272011618946,61.28897951234062,5488.408805031447,1.0,0.1273666075427874,0.1467807175059591,2.0
61.0,-25.078929687948786,-11.532930292802698,60.14570442648495,4287.117647058823,1.0,0.1329316432509561,0.3230232279656025,2.0
62.0,-20.464066463968027,-25.648709255716074,62.38749653360118,3871.782608695652,1.0,0.18484201713796491,0.1035157255609034,2.0
63.0,-9.384295827150344,-41.26798892974853,68.16227460861207,2173.485,1.0,0.1457977334294265,0.1981541808426202,2.0
64.0,-5.329205353108663,-25.247664481874498,66.81985752166264,2922.1428571428573,1.0,0.2418863343947855,0.1776449101272671,2.0
65.0,-16.534482023792883,-12.342681844772832,68.56770816926033,4485.0451612903225,1.0,0.1739456663347683,0.2151892934854928,2.0
66.0,-17.779206960973607,-32.12294272301902,65.15591522001884,3875.0774647887324,1.0,0.1870100326148939,0.12166663661968061,2.0
67.0,-19.0278395526814,-38.18411938649304,67.93895992542963,5287.729559748428,1.0,0.1663668383493527,0.1718851930086281,2.0
68.0,-12.506646578652518,-26.557658113752094,69.64952487037296,4139.342857142857,1.0,0.1181391413504912,0.1555134067009971,2.0
69.0,-44.37719449743761,-40.54401161396398,-20.071457727820473,20775.513274336285,1.0,0.1263544276726348,0.1690195110945145,2.0
70.0,-45.79874087279698,-55.38470318632306,-12.962244751318446,21236.04716981132,1.0,0.1997758327343824,0.240318088406623,1.0
71.0,-50.99951467911402,-62.010378102461495,-0.8487083996975949,16941.713541666668,1.0,0.2576068483917011,0.1669812205591723,1.0
72.0,-46.06763975562119,-66.48529566322885,13.456223994929616,14000.219512195123,1.0,0.2579939649524155,0.1542363744111389,1.0
73.0,-25.606995735168457,-69.79974617004395,31.66543487548828,12296.86,1.0,0.1658765391250219,0.1028046786500783,1.0
74.0,-52.438215017318726,-31.329268127679825,39.85551518201828,12629.84375,1.0,0.186358483411144,0.3077394896832194,2.0
75.0,-24.070958200162345,-63.554311459952025,46.88802045279176,12667.058394160584,1.0,0.3630928971182953,0.243263996911951,1.0
76.0,-43.562952061289366,-30.830706016304568,40.4499964369941,5837.81443298969,1.0,0.041293618306967005,0.0359232936918664,2.0
77.0,-35.041121126131245,-45.91206086136913,42.08990059190124,10270.587786259543,1.0,0.2094769664580904,0.2821697840356128,1.0
78.0,-28.434602583961926,-56.063952961187255,47.643186591137415,12717.206896551725,1.0,0.3150595363086436,0.3091845253234671,1.0
79.0,-36.98362253480038,-38.68462186479299,46.101582737292276,5422.338983050848,1.0,0.22583260187300383,0.1939065112644609,2.0
80.0,-32.96956242620945,-50.02120923995972,52.531039863824844,12496.9453125,1.0,0.1749470516380016,0.2654369034599398,1.0
81.0,-16.094405079387247,-64.76862057590984,56.642521164180096,10724.769633507853,1.0,0.503756797064498,0.5346567366312566,1.0
82.0,-25.820832560833235,-57.55431770382071,57.99043351367004,12832.406015037594,1.0,0.3448581066436221,0.4926364173486926,1.0
83.0,-10.717259125743839,-55.837228788746344,61.55258637023487,10785.107913669064,1.0,0.2952136553478591,0.4803607082127824,1.0
84.0,-22.126328370342517,-52.06789116010274,63.27869867298701,11717.013698630137,1.0,0.1780080364292477,0.2764203928455169,1.0
85.0,-14.83036383715543,-48.85753319480202,68.3346561085094,7817.125,1.0,0.20829364278564452,0.3250975146088153,1.0
86.0,-39.32486295700073,-3.283473704367255,50.27928066253662,7684.966666666666,1.0,0.2386500452667835,0.4591607438083813,3.0
87.0,-26.313644737005234,1.1272247276210692,53.63910073041916,12067.078125,1.0,0.3869545949814693,0.4232813590847656,3.0
88.0,-30.18294899373115,-6.579578655052789,50.35210983662666,4192.4177215189875,1.0,0.2623178195870223,0.44464922442037075,2.0
89.0,-20.372753634036165,4.629500205081535,60.099427602823496,7125.461165048544,1.0,0.3685066667809107,0.388979627399411,3.0
90.0,-47.651377567492034,6.388397151545474,24.635327324114346,17704.610526315788,1.0,0.2757652196809823,0.21516388977973744,3.0
91.0,-46.826533045087544,1.421701456845871,36.91559997286115,19180.985714285714,1.0,0.3196098671380893,0.283719126013331,3.0
92.0,-51.33867551569353,-34.22323929636102,23.191821650454873,13011.760233918129,1.0,0.2610934231357686,0.1693526335170563,2.0
93.0,-55.035568264748555,-43.04107117138321,28.014956055785255,8421.856115107914,1.0,0.3083161025391143,0.3070938867921912,1.0
94.0,-58.84767981136547,-23.600552964054682,29.21115000107709,15733.385620915033,1.0,0.277851186320355,0.3150632154468215,2.0
95.0,-58.97044186714368,-34.84696442041642,33.02250721923306,15258.401709401709,1.0,0.3432941146127401,0.3481072990100104,2.0
96.0,-52.94452659529869,-53.06983074997411,8.49393432128309,9435.934343434343,1.0,0.154308424615213,0.2367214764786342,1.0
97.0,-44.451169403506,3.4870091524158773,-15.353719902710177,22744.49295774648,1.0,-0.1042677912347578,0.0210620715766281,3.0
98.0,-38.22045287790225,1.5535609671095199,-8.528540746186131,9018.798449612403,1.0,0.202446800938527,0.0742362197506118,3.0
99.0,-32.94602487287449,25.380390968031556,-1.2995832543393582,9433.526717557252,1.0,0.03644015366255,0.2725109150104954,3.0
100.0,-40.26934956395349,-13.253551377806552,-3.8064352822338425,16134.133720930233,1.0,0.031617811982133,0.1545957499077179,2.0
101.0,-33.130184382037385,19.543502703390487,7.724063771995691,9414.814207650274,1.0,0.1466738648259511,0.2287543546347244,3.0
102.0,-36.11703754672044,5.285287767380691,9.725839441628764,9285.661870503596,1.0,0.2892696371816069,0.23123525448461557,3.0
103.0,-44.46857087690751,13.582502731910118,2.961271300707217,13955.087912087913,1.0,0.1497009481095318,0.1832326240427763,3.0
104.0,-49.9718660936288,-0.5513795387818881,6.400946784896631,17034.40425531915,1.0,0.1760034608858165,0.0770751981328149,3.0
105.0,-50.841935140644004,10.50777965534233,11.964967693754298,17246.389221556885,1.0,0.2357735938239823,0.2440198334994317,3.0
106.0,-29.237211151985125,42.261784246412375,26.02428173345361,26869.084745762713,1.0,0.1234922210804971,0.2365993809565088,3.0
107.0,-6.957288001900289,18.684171830836814,33.02235870930686,1433.1990049751244,1.0,0.1667358996415154,0.11685534764866208,3.0
108.0,-6.869534356336968,-1.5094094279623937,41.58096850152109,1143.985294117647,1.0,0.263064159018811,0.1057171195025667,3.0
109.0,-11.471965986628865,-26.81843673351199,40.54293661339339,2353.889534883721,1.0,0.19235495569219313,0.1836162590042201,2.0
110.0,-6.720446414069126,6.79918379248365,48.755556332437614,1651.467105263158,1.0,0.398303162677079,0.2176466298274804,3.0
111.0,-11.699139486792628,-41.015386242076666,47.465820289096946,2090.8282208588957,1.0,0.1848610808999942,0.2723495012544066,2.0
112.0,-7.714154945373535,-49.325625610351565,58.25152008056641,6333.76,1.0,0.2223625019531595,0.2463052514508649,1.0
113.0,-9.721321614283436,-4.888469714741662,68.35412295359485,3618.7264150943397,1.0,0.1649135460877837,0.2747569940080497,2.0
114.0,-11.903976675063845,22.739576839265368,-20.619051181450093,19225.015873015873,1.0,0.026479608921278,-0.0042313876901403,3.0
115.0,-22.030887508919225,22.46032006964499,-18.675293780163507,18799.45856353591,1.0,0.315152470210931,0.1628903028247868,3.0
116.0,-10.386122710205788,46.60226739395497,-21.24651800643566,19188.86976744186,1.0,0.0370793899306543,0.0191462961162894,3.0
117.0,-4.212870687246323,19.971434783935546,-20.245707714557646,19376.1,1.0,-0.05292273160561041,-0.0598440472510238,3.0
118.0,-16.334459785314706,62.44518348498222,-5.8432562584296255,21950.389743589745,1.0,0.0159581961886268,0.1888085774787521,3.0
119.0,-37.99605732099384,-4.753250674258733,-40.66523428842531,20390.41134751773,1.0,-0.0137399987922476,0.0763036146056662,2.0
120.0,-25.370468422918037,3.4603367672108187,-37.706664340330825,21502.029702970296,1.0,0.0137542173583914,0.0841525504899765,3.0
121.0,-27.360640436808268,-10.954872461954752,-31.59420799255371,22240.42,1.0,0.0693652046294217,0.0510544946183415,2.0
122.0,-52.47399893574331,-21.059603965145417,-29.45000783328352,20332.431034482757,1.0,0.0516773783973532,0.1655728170596918,2.0
