area,effective_dims,label
schaefer_11,5.37352798063799,11
schaefer_138,5.392617361977358,138
schaefer_371,5.394147346076999,371
schaefer_339,5.394435427375647,339
schaefer_291,5.398795603201457,291
schaefer_204,5.410263366527809,204
schaefer_283,5.431946889843021,283
schaefer_161,5.436471019860116,161
schaefer_190,5.442411800924735,190
schaefer_228,5.445617261991157,228
schaefer_44,5.455277472715884,44
schaefer_256,5.455539809720204,256
schaefer_267,5.471412748995095,267
schaefer_386,5.474528278650903,386
schaefer_57,5.479681243565849,57
schaefer_141,5.5047541253747285,141
schaefer_244,5.531324527613533,244
schaefer_187,5.534108508733336,187
schaefer_61,5.534441599718833,61
schaefer_342,5.535019451825931,342
schaefer_346,5.55302434718072,346
schaefer_135,5.561983070884915,135
schaefer_287,5.574166732841269,287
schaefer_222,5.578269727919934,222
schaefer_148,5.583766720676371,148
schaefer_314,5.599272403279846,314
schaefer_354,5.600543625728275,354
schaefer_23,5.618297402699773,23
schaefer_269,5.630812591523616,269
schaefer_188,5.64930334325203,188
schaefer_358,5.657465326490659,358
schaefer_200,5.689486870590106,200
schaefer_63,5.695179380277728,63
schaefer_197,5.697848025643854,197
schaefer_91,5.699868159323706,91
schaefer_142,5.71232191641895,142
schaefer_317,5.720586326316083,317
schaefer_241,5.72482867177278,241
schaefer_361,5.74010344368123,361
schaefer_229,5.7446773265016375,229
schaefer_111,5.746632648362636,111
schaefer_290,5.748795636480241,290
schaefer_295,5.7516014298158336,295
schaefer_92,5.752418391925692,92
schaefer_219,5.777915696889971,219
schaefer_21,5.77793675964572,21
schaefer_20,5.790563596091972,20
schaefer_167,5.792937850372859,167
schaefer_297,5.800539481832174,297
schaefer_351,5.802496358570362,351
schaefer_147,5.813243481065692,147
schaefer_385,5.831113806149676,385
schaefer_273,5.840460404888578,273
schaefer_211,5.885047633014752,211
schaefer_184,5.8858474185581615,184
schaefer_397,5.898357922141725,397
schaefer_315,5.907439075935854,315
schaefer_294,5.915224672450653,294
schaefer_189,5.919164351791031,189
schaefer_154,5.925430075108418,154
schaefer_181,5.940301942709273,181
schaefer_390,5.948747775872829,390
schaefer_17,5.963117560410677,17
schaefer_137,5.968999532890867,137
schaefer_175,6.000376737476296,175
schaefer_398,6.019384689955033,398
schaefer_359,6.040687017647848,359
schaefer_198,6.046103705936743,198
schaefer_217,6.066575781373046,217
schaefer_71,6.088570550753043,71
schaefer_160,6.104676125706162,160
schaefer_13,6.107421486669449,13
schaefer_355,6.109130973776942,355
schaefer_376,6.149387494759806,376
schaefer_301,6.151427410416189,301
schaefer_179,6.157717512427398,179
schaefer_89,6.173272327164945,89
schaefer_391,6.190981426626009,391
schaefer_136,6.201571889657048,136
schaefer_262,6.211150774848436,262
schaefer_383,6.222666049573778,383
schaefer_238,6.248816146041911,238
schaefer_110,6.266855181773842,110
schaefer_380,6.27372033615085,380
schaefer_348,6.297236553996307,348
schaefer_239,6.299490753101729,239
schaefer_8,6.315957574502795,8
schaefer_268,6.345659153158507,268
schaefer_395,6.353302555621342,395
schaefer_377,6.365333890177425,377
schaefer_180,6.365350572377056,180
schaefer_242,6.3764350345988525,242
schaefer_38,6.37990026620502,38
schaefer_250,6.390550088274879,250
schaefer_309,6.395036758793089,309
schaefer_237,6.424887844373868,237
schaefer_347,6.461707992070044,347
schaefer_344,6.462516964474669,344
schaefer_150,6.47504418648016,150
schaefer_158,6.477449647671914,158
schaefer_293,6.502026043578097,293
schaefer_139,6.519900068194058,139
schaefer_316,6.523766673875897,316
schaefer_143,6.54188102523943,143
