TrialNumber,amount,prob,set,lottery_id,ran,order,view_time,slider_time,choice,rt,time,random_jitter,end_time,start_ev_time,view_ev_duration,eval_ev_duration,end_ev_time,ev_duration,EV,run
21,79,40,9B,30,1.0,20.0,242.9027,243.9229,50.0,4.662316,248.57422,-0.1539282,248.57421875,242.9027,1,4.662315845489502,248.58522,5.6825203369140525,31.6,2
22,61,45,10A-11A,22,1.0,21.0,254.79619,255.82098,28.0,4.397363,260.2075,-0.051369514,260.2074890136719,254.79619,1,4.397363185882568,260.21835,5.422163271484379,27.45,2
23,39,65,1A-15A-26C,16,1.0,22.0,266.7869,267.80994,30.0,4.030229,271.84067,-0.290303,271.8406677246094,266.7869,1,4.030229091644287,271.84018,5.053279443359372,25.35,2
24,18,50,2C-16C-22B-28A,10,1.0,23.0,278.54456,279.56802,9.0,2.9676754,282.52423,0.104080446,282.52423095703125,278.54456,1,2.9676754474639893,282.5357,3.99114556640626,9.0,2
25,79,65,8A,31,1.0,24.0,290.68564,291.70963,60.0,3.342215,295.04086,-0.2652326,295.0408630371094,290.68564,1,3.342215061187744,295.05185,4.366209365234397,51.35,2
26,11,45,14B-21C-25C,6,1.0,25.0,302.4715,303.49622,4.0,3.3558693,306.84103,0.44050968,306.8410339355469,302.4715,1,3.3558692932128906,306.85208,4.380581298828133,4.95,2
27,61,55,7B-26B,23,1.0,26.0,314.96082,315.973,35.0,3.578837,319.54102,-0.39020035,319.541015625,314.96082,1,3.5788369178771973,319.55182,4.590998847656238,33.55,2
28,58,45,11C-18C-25A,21,1.0,27.0,326.60785,327.6193,27.0,2.865766,330.47415,-0.4689932,330.4741516113281,326.60785,1,2.8657660484313965,330.48505,3.877196386718765,26.1,2
29,43,60,2A-7A-9A-15B,17,1.0,28.0,338.17252,339.19492,23.0,3.7621396,342.95755,0.45225638,342.9575500488281,338.17252,1,3.7621395587921143,342.95706,4.784541767578105,25.8,2
30,36,70,3A-5C-10B,13,1.0,29.0,350.67294,351.69406,30.0,2.9745414,354.65768,0.22326425,354.6576843261719,350.67294,1,2.974541425704956,354.6686,3.9956696191406422,25.2,2
31,4,50,4C-17B,2,1.0,30.0,362.93274,363.95547,2.0,4.167714,368.12424,-0.41817948,368.1242370605469,362.93274,1,4.1677141189575195,368.1232,5.190459462890601,2.0,2
32,11,75,6B-18B-22C-24C-29A,7,1.0,31.0,374.5633,375.58804,7.0,3.1479518,378.72507,-0.0773558,378.7250671386719,374.5633,1,3.14795184135437,378.736,4.172692431640598,8.25,2
33,39,60,9C-25B,15,1.0,32.0,386.53015,387.55582,31.0,,,-0.19408618,,386.53015,1,5.0,,6.0,23.4,2
34,71,45,2B-16A,26,1.0,33.0,398.39407,399.41693,50.0,3.7567866,403.1741791999957,-0.29201564,403.1741943359375,398.39407,1,3.756786584854126,403.1737,4.779636054687501,31.95,2
1,11,75,6B-18B-22C-24C-29A,7,1.0,0.0,2.013283,3.0432367,8.0,2.4811928,5.5098524,0.039524496,5.509852409362793,2.013283,1,2.4811928272247314,5.5244293,3.5111463212890626,8.25,4
2,39,60,9C-25B,15,1.0,1.0,14.100835,15.126343,23.0,3.2614694,18.37667,0.04149783,18.376670837402344,14.100835,1,3.2614693641662598,18.387812,4.2869766607666016,23.4,4
3,71,75,8B,28,1.0,2.0,26.194046,27.219362,71.0,3.3852787,30.593512,-0.20302159,30.5935115814209,26.194046,1,3.3852787017822266,30.604641,4.410594960693359,53.25,4
4,0,0,0.0,0,1.0,3.0,38.03906,,,,--,-0.29154447,,38.03906,1,5.0,,6.0,0.0,4
5,0,0,0.0,0,1.0,4.0,49.777058,,,,--,0.4282653,,49.777058,1,5.0,,6.0,0.0,4
6,43,75,11B-19B-24A-26A,18,1.0,5.0,62.220676,63.237175,33.0,3.3351624,66.56004,0.17343394,66.56004333496094,62.220676,1,3.335162401199341,66.572334,4.351658289550784,32.25,4
7,4,75,12B-20B-23B-27C-29C,3,1.0,6.0,74.42413,75.43614,3.0,4.0848703,79.51003,-0.2936477,79.5100326538086,74.42413,1,4.084870338439941,79.52101,5.096881352539057,3.0,4
8,36,30,3C-20A-22A,11,1.0,7.0,86.159454,87.185234,12.0,3.8744826,91.060135,-0.16141193,91.06013488769531,86.159454,1,3.8744826316833496,91.059715,4.900261270996097,10.8,4
9,79,40,9B,30,1.0,8.0,98.05475,99.06836,50.0,3.7529955,102.81022,0.119568445,102.81021881103516,98.05475,1,3.752995491027832,102.82136,4.766607727050783,31.6,4
10,36,70,3A-5C-10B,13,1.0,9.0,110.20626,111.23184,30.0,3.540075,114.76046,0.17778853,114.76045989990234,110.20626,1,3.5400750637054443,114.77192,4.565659250488281,25.2,4
11,0,0,0.0,0,1.0,10.0,122.422775,,,,--,0.17133015,,122.422775,1,5.0,,6.0,0.0,4
12,79,65,8A,31,1.0,11.0,134.63052,135.65802,64.0,3.9700563,139.6269,0.33119318,139.6269073486328,134.63052,1,3.9700562953948975,139.62808,4.997562275390635,51.35,4
13,76,65,8C-19A-24B,29,1.0,12.0,147.0154,148.02856,60.0,4.3094296,152.32697,-0.061951578,152.32696533203125,147.0154,1,4.30942964553833,152.338,5.322597436523438,49.4,4
14,36,75,4B-5A-13B-16B,14,1.0,13.0,158.98375,160.00882,29.0,3.6960611,163.69385,0.40870982,163.69384765625,158.98375,1,3.696061134338379,163.70488,4.721129760742201,27.0,4
15,64,25,6A-21A,24,1.0,14.0,171.43729,172.46265,24.0,3.2471027,175.71028,-0.02132777,175.7102813720703,171.43729,1,3.247102737426758,175.70975,4.272457314453135,16.0,4
16,39,65,1A-15A-26C,16,1.0,15.0,183.47906,184.5022,29.0,3.8692396,188.36047,-0.2768745,188.3604736328125,183.47906,1,3.869239568710327,188.37143,4.892369443359371,25.35,4
17,4,50,4C-17B,2,1.0,16.0,195.24944,196.27548,2.0,3.396166,199.6603,-0.1927413,199.66029357910156,195.24944,1,3.3961660861968994,199.67165,4.42220611816407,2.0,4
18,61,55,7B-26B,23,1.0,17.0,207.10323,208.12856,37.0,2.3814855,210.51036,-0.42986566,210.51036071777344,207.10323,1,2.3814854621887207,210.51004,3.4068102832031286,33.55,4
19,11,20,12C-17C-23C-28C,4,1.0,18.0,218.72697,219.75319,4.0,3.3518784,223.09409,0.06283273,223.09408569335938,218.72697,1,3.3518784046173096,223.10507,4.378102021484381,2.2,4
20,64,50,1B-3B-4A,25,1.0,19.0,230.8366,231.84975,32.0,3.5098815,235.36037,0.0138414735,235.36036682128906,230.8366,1,3.5098814964294434,235.35963,4.523034399414058,32.0,4
21,43,60,2A-7A-9A-15B,17,1.0,20.0,242.88754,243.91286,30.0,2.897871,246.81007,0.4943708,246.81007385253906,242.88754,1,2.8978710174560547,246.81073,3.9231899804687487,25.8,4
22,36,60,1C-7C-15C,12,1.0,21.0,255.43982,256.46216,21.0,3.959323,260.41046,-0.04480186,260.41046142578125,255.43982,1,3.959322929382324,260.42148,4.981658271484378,21.6,4
23,61,45,10A-11A,22,1.0,22.0,267.4377,268.44955,29.0,4.8056116,273.24387,0.16541949,273.2438659667969,267.4377,1,4.805611610412598,273.25516,5.817457470703118,27.45,4
24,18,50,2C-16C-22B-28A,10,1.0,23.0,279.63867,280.6651,9.0,3.0231483,283.67722,0.03565563,283.6772155761719,279.63867,1,3.02314829826355,283.68826,4.0495929394531345,9.0,4
25,11,25,12A-27B-28B-30B,5,1.0,24.0,291.7263,292.75034,4.0,2.742999,295.49393,0.06993634,295.4939270019531,291.7263,1,2.7429990768432617,295.49335,3.7670471679687694,2.75,4
26,58,30,13C-30A,19,1.0,25.0,303.84622,304.87225,24.0,3.616122,308.47726,0.1642916,308.4772644042969,303.84622,1,3.616122007369995,308.48837,4.642152802734358,17.4,4
27,58,45,11C-18C-25A,21,1.0,26.0,316.05408,317.06906,27.0,2.9359708,319.99387,-0.15734865,319.9938659667969,316.05408,1,2.9359707832336426,320.00504,3.950955400390626,26.1,4
28,4,25,6C-29B-30C,1,1.0,27.0,327.92767,328.93958,1.0,2.8317268,331.76047,0.30049756,331.7604675292969,327.92767,1,2.8317267894744873,331.7713,3.843631269531272,1.0,4
29,16,20,14C-17A-20C-27A,8,1.0,28.0,340.26157,341.2735,5.0,4.715671,345.97827,-0.112029895,345.978271484375,340.26157,1,4.715671062469482,345.98917,5.727596259765619,3.2,4
30,11,45,14B-21C-25C,6,1.0,29.0,352.17902,353.20038,6.0,4.8269424,358.02707,-0.44165972,358.0270690917969,352.17902,1,4.826942443847656,358.0273,5.848293232421895,4.95,4
31,18,25,14A-23A,9,1.0,30.0,363.79123,364.81525,4.0,4.2730284,369.0772,0.31741127,369.07720947265625,363.79123,1,4.273028373718262,369.0883,5.29705735351564,4.5,4
32,58,40,10C-13A-19C-21B,20,1.0,31.0,376.15872,377.18445,33.0,4.1871605,381.36057,-0.25080633,381.3605651855469,376.15872,1,4.187160491943359,381.3716,5.212892548828108,23.2,4
33,71,45,2B-16A,26,1.0,32.0,387.94876,388.97104,45.0,4.133747,393.09402,0.09006533,393.0940246582031,387.94876,1,4.133747100830078,393.1048,5.156037363281257,31.95,4
34,71,55,5B-18A,27,1.0,33.0,400.07886,401.10272,55.0,2.7355578,403.8274,0.016942209,403.827392578125,400.07886,1,2.735557794570923,403.8383,3.759427353515605,39.05,4
1,58,45,11C-18C-25A,21,1.0,0.0,2.0150945,3.0418348,40.0,2.844841,5.860871,-0.37845773,5.860870838165283,2.0150945,1,2.8448410034179688,5.886676,3.8715813346557617,26.1,3
2,39,60,9C-25B,15,1.0,1.0,13.66181,14.679089,25.0,2.4763727,17.144302,0.12857203,17.144302368164062,13.66181,1,2.476372718811035,17.15546,3.4936503576660165,23.4,3
3,64,50,1B-3B-4A,25,1.0,2.0,25.821468,26.84413,33.0,3.4278812,30.260836,0.29124236,30.260835647583008,25.821468,1,3.4278812408447266,30.27201,4.450542803222657,32.0,3
4,18,50,2C-16C-22B-28A,10,1.0,3.0,38.14972,39.162094,9.0,2.0611048,41.227455,0.23853868,41.227455139160156,38.14972,1,2.0611047744750977,41.223198,3.0734779370117167,9.0,3
5,11,20,12C-17C-23C-28C,4,1.0,4.0,50.434624,51.44646,3.0,3.209115,54.644085,-0.10900208,54.64408493041992,50.434624,1,3.2091150283813477,54.655575,4.220950798583985,2.2,3
6,79,65,8A,31,1.0,5.0,62.355766,63.38027,65.0,3.2250307,66.59416,0.14415315,66.59416198730469,62.355766,1,3.2250306606292725,66.6053,4.24953490332031,51.35,3
7,76,65,8C-19A-24B,29,1.0,6.0,74.53587,75.549484,59.0,4.1236296,79.66104,-0.32802975,79.66104125976562,74.53587,1,4.123629570007324,79.67311,5.13724096191406,49.4,3
8,4,50,4C-17B,2,1.0,7.0,86.24632,87.267876,2.0,3.2040238,90.46098,-0.43550977,90.46098327636719,86.24632,1,3.204023838043213,90.4719,4.225580939941409,2.0,3
9,0,0,0.0,0,1.0,8.0,97.85043,,,,--,0.47300878,,97.85043,1,5.0,,6.0,0.0,3
10,43,75,11B-19B-24A-26A,18,1.0,9.0,110.348305,111.36869,28.0,3.9095867,115.27766,0.2028685,115.27765655517578,110.348305,1,3.9095866680145264,115.278275,4.929969536132816,32.25,3
11,16,20,14C-17A-20C-27A,8,1.0,10.0,122.60095,123.62587,4.0,3.0631235,126.678085,-0.390738,126.67808532714844,122.60095,1,3.0631234645843506,126.688995,4.088045361328128,3.2,3
12,36,75,4B-5A-13B-16B,14,1.0,11.0,134.24963,135.27571,24.0,3.329248,138.59422,-0.06654222,138.59422302246094,134.24963,1,3.3292479515075684,138.60497,4.355335209960941,27.0,3
13,4,75,12B-20B-23B-27C-29C,3,1.0,12.0,146.22606,147.25107,3.0,3.6762052,150.92749,-0.4641864,150.927490234375,146.22606,1,3.6762051582336426,150.92728,4.701216611328135,3.0,3
14,11,45,14B-21C-25C,6,1.0,13.0,157.82324,158.84102,5.0,3.73117,162.56116,0.40767175,162.5611572265625,157.82324,1,3.7311699390411377,162.57219,4.748949331054689,4.95,3
15,71,75,8B,28,1.0,14.0,170.26799,171.29024,69.0,4.886985,176.17776,0.25050566,176.17776489257812,170.26799,1,4.886984825134277,176.17722,5.9092255761718775,53.25,3
16,71,45,2B-16A,26,1.0,15.0,182.568,183.5909,40.0,4.1152177,187.69516,0.23032126,187.69515991210938,182.568,1,4.115217685699463,187.70612,5.138115722656238,31.95,3
17,18,25,14A-23A,9,1.0,16.0,194.8367,195.84875,4.0,2.8949447,198.7445,-0.3276505,198.7445068359375,194.8367,1,2.894944667816162,198.7437,3.90699812011718,4.5,3
18,61,45,10A-11A,22,1.0,17.0,206.55426,207.57257,30.0,3.4828033,211.04442,-0.33075187,211.04441833496094,206.55426,1,3.4828033447265625,211.05537,4.501114145507813,27.45,3
19,36,60,1C-7C-15C,12,1.0,18.0,218.26395,219.28764,23.0,3.701051,222.97783,0.024378682,222.9778289794922,218.26395,1,3.7010509967803955,222.9887,4.724743237304693,21.6,3
20,43,60,2A-7A-9A-15B,17,1.0,19.0,230.3288,231.35553,35.0,4.983302,236.3278,-0.19547555,236.3278045654297,230.3288,1,4.983302116394043,236.33884,6.010036669921874,25.8,3
21,0,0,0.0,0,1.0,20.0,242.17377,,,,--,0.13235553,,242.17377,1,5.0,,6.0,0.0,3
22,64,25,6A-21A,24,1.0,21.0,254.32117,255.34717,24.0,4.4109206,259.76074,0.47001538,259.7607421875,254.32117,1,4.4109206199646,259.7581,5.43691715820313,16.0,3
23,58,40,10C-13A-19C-21B,20,1.0,22.0,266.85196,267.8639,29.0,3.9300644,271.79446,-0.0135674365,271.7944641113281,266.85196,1,3.9300644397735596,271.79395,4.94198531249998,23.2,3
24,71,55,5B-18A,27,1.0,23.0,278.8889,279.91107,50.0,4.7999635,284.71085,-0.20627694,284.7108459472656,278.8889,1,4.799963474273682,284.71103,5.822129052734397,39.05,3
25,36,70,3A-5C-10B,13,1.0,24.0,290.72852,291.7543,29.0,3.8176033,295.5612,-0.076439664,295.5611877441406,290.72852,1,3.817603349685669,295.5719,4.843379414062497,25.2,3
26,58,30,13C-30A,19,1.0,25.0,302.69693,303.7099,20.0,3.1956832,306.8945,-0.47426236,306.8945007324219,302.69693,1,3.195683240890503,306.90558,4.208648613281241,17.4,3
27,11,75,6B-18B-22C-24C-29A,7,1.0,26.0,314.24832,315.26035,8.0,4.129626,319.39447,-0.13476995,319.39447021484375,314.24832,1,4.1296257972717285,319.38998,5.141664130859397,8.25,3
28,4,25,6C-29B-30C,1,1.0,27.0,326.16046,327.18283,1.0,3.3059428,330.4779,-0.22086696,330.4779052734375,326.16046,1,3.3059427738189697,330.48877,4.3283095312499995,1.0,3
29,61,55,7B-26B,23,1.0,28.0,337.98697,338.99982,51.0,4.394235,343.39435,0.007089528,343.39434814453125,337.98697,1,4.394235134124756,343.39404,5.407072968750015,33.55,3
30,36,30,3C-20A-22A,11,1.0,29.0,350.04486,351.06873,12.0,3.687934,354.74588,0.051806986,354.7458801269531,350.04486,1,3.687933921813965,354.75665,4.711792832031222,10.8,3
31,0,0,0.0,0,1.0,30.0,362.13718,,,,--,-0.024908062,,362.13718,1,5.0,,6.0,0.0,3
32,11,25,12A-27B-28B-30B,5,1.0,31.0,374.13773,375.15012,4.0,2.8737886,378.0113,-0.49835405,378.01129150390625,374.13773,1,2.873788595199585,378.0239,3.8861652636718986,2.75,3
33,39,65,1A-15A-26C,16,1.0,32.0,385.67596,386.69888,25.0,4.156913,390.84488,0.24647918,390.8448791503906,385.67596,1,4.156912803649902,390.8558,5.1798444433594,25.35,3
34,79,40,9B,30,1.0,33.0,397.9615,398.98422,50.0,,,0.20589559,,397.9615,1,5.0,,6.0,31.6,3
1,36,30,3C-20A-22A,11,1.0,0.0,2.010319,3.0497813,12.0,3.1550293,6.1795516,-0.03165376,6.179551601409912,2.010319,1,3.155029296875,6.2048106,4.194491619354248,10.8,1
2,58,40,10C-13A-19C-21B,20,1.0,1.0,14.017126,15.042834,36.0,3.186148,18.229568,-0.010130907,18.229568481445312,14.017126,1,3.186147928237915,18.228983,4.21185692541504,23.2,1
3,11,20,12C-17C-23C-28C,4,1.0,2.0,26.061296,27.085247,4.0,2.505547,29.579739,-0.1362349,29.57973861694336,26.061296,1,2.505547046661377,29.590794,3.529497609619142,2.2,1
4,61,45,10A-11A,22,1.0,3.0,37.973812,38.986748,26.0,4.670788,43.646706,0.48442248,43.646705627441406,37.973812,1,4.670787811279297,43.657536,5.683723552978513,27.45,1
5,0,0,0.0,0,1.0,4.0,50.485092,,,,--,0.3812826,,50.485092,1,5.0,,6.0,0.0,1
6,71,55,5B-18A,27,1.0,5.0,62.884857,63.905956,37.0,4.725268,68.6294,0.34807822,68.62940216064453,62.884857,1,4.7252678871154785,68.631226,5.746368585937503,39.05,1
7,4,50,4C-17B,2,1.0,6.0,75.28291,76.307465,2.0,2.2499661,78.54642,-0.37224674,78.54641723632812,75.28291,1,2.2499661445617676,78.557434,3.274524082031249,2.0,1
8,11,45,14B-21C-25C,6,1.0,7.0,86.96079,87.98308,4.0,3.1076064,91.079666,-0.427797,91.07966613769531,86.96079,1,3.1076064109802246,91.09068,4.129892983398435,4.95,1
