TrialNumber,amount,prob,set,lottery_id,ran,order,view_time,slider_time,end_time,rt,choice,mouse_start,wait_time,start_ev_time,view_ev_duration,eval_ev_duration,end_ev_time,ev_duration,EV,run
27,16,20,14C-17A-20C-27A,8,1.0,26.0,316.74026,317.76275634765625,319.6162109375,1.8642202615737915,0.0,28.0,8.738545,316.74026,1,1.8642202615737915,319.62697660923004,2.8867166092300636,3.2,4
28,79,40,9B,30,1.0,27.0,328.3869,329.40679931640625,332.14813232421875,2.7407078742980957,31.0,77.0,8.04982,328.3869,1,2.7407078742980957,332.14750719070435,3.76060719070432,31.6,4
29,0,0,0.0,0,1.0,28.0,340.22476,,346.22613525390625,,,,5.8150735,340.22476,1,5.0,,6.0,0.0,4
30,71,45,2B-16A,26,1.0,29.0,352.06686,353.0897216796875,356.21539306640625,3.1382596492767334,27.0,67.0,8.356225,352.06686,1,3.1382596492767334,356.22798132896423,4.161121328964214,31.95,4
31,4,75,12B-20B-23B-27C-29C,3,1.0,30.0,364.6009,365.61614990234375,368.93182373046875,3.3153510093688965,1.0,31.0,7.982695,364.6009,1,3.3153510093688965,368.93150091171265,4.330600911712622,3.0,4
32,61,55,7B-26B,23,1.0,31.0,376.95053,377.9760437011719,381.8986511230469,3.933314800262451,32.0,9.0,6.572853,376.95053,1,3.933314800262451,381.9093585014343,4.958828501434311,33.55,4
33,11,20,12C-17C-23C-28C,4,1.0,32.0,388.5048,389.51885986328125,391.11529541015625,1.6074655055999756,0.0,36.0,9.462682,388.5048,1,1.6074655055999756,391.1263253688812,2.6215253688812368,2.2,4
34,18,25,14A-23A,9,1.0,33.0,400.6118,401.6256408691406,405.2152099609375,3.600414514541626,1.0,56.0,7.516155,400.6118,1,3.600414514541626,405.22605538368225,4.614255383682234,4.5,4
1,36,30,3C-20A-22A,11,1.0,0.0,2.011332,3.0504183769226074,6.710689544677734,3.6843745708465576,7.0,64.0,7.5707965,2.011332,1,3.6843745708465576,6.734792947769165,4.723460947769166,10.8,5
2,43,60,2A-7A-9A-15B,17,1.0,1.0,14.307918,15.31917667388916,18.510360717773438,3.190671682357788,27.0,51.0,7.920368,14.307918,1,3.190671682357788,18.50984835624695,4.201930356246947,25.8,5
3,11,75,6B-18B-22C-24C-29A,7,1.0,2.0,26.467607,27.491844177246094,30.677268981933594,3.1961562633514404,5.0,60.0,7.43052,26.467607,1,3.1961562633514404,30.688000440597534,4.220393440597533,8.25,5
4,64,50,1B-3B-4A,25,1.0,3.0,38.138294,39.1591796875,41.56071853637695,2.4123611450195312,24.0,30.0,8.716301,38.138294,1,2.4123611450195312,41.57154083251953,3.4332468325195293,32.0,5
