subject_id,binary_id,trinary_id,target_choice,trinary_group,catch,decoy_choice,rt,amountA,probA,amountB,probB,EVA,EVB,avg_amounts,avg_probs,amountC,probC,EVC
db807547-e7a4-44fa-87cb-6be1690610f0,6.0,6.0,1,0,0.0,0.0,3034.0,0.8,0.25,0.09333333333333334,0.75,0.28708133971291866,0.13875598086124402,0.4466666666666667,0.5,,,
d1e00293-27c1-4c36-bc26-c1a719a35f3d,6.0,6.0,1,0,0.0,0.0,1720.0,0.8,0.25,0.09333333333333334,0.75,0.28708133971291866,0.13875598086124402,0.4466666666666667,0.5,,,
d1e00293-27c1-4c36-bc26-c1a719a35f3d,6.0,6.0,1,0,0.0,0.0,2983.0,0.8,0.25,0.09333333333333334,0.75,0.28708133971291866,0.13875598086124402,0.4466666666666667,0.5,,,
d1e00293-27c1-4c36-bc26-c1a719a35f3d,6.0,6.0,1,0,0.0,0.0,4422.0,0.8,0.25,0.09333333333333334,0.75,0.28708133971291866,0.13875598086124402,0.4466666666666667,0.5,,,
1c3c4861-95c6-42a5-9380-25db22cb1773,6.0,6.0,0,0,0.0,0.0,2444.0,0.8,0.25,0.09333333333333334,0.75,0.28708133971291866,0.13875598086124402,0.4466666666666667,0.5,,,
1c3c4861-95c6-42a5-9380-25db22cb1773,6.0,6.0,0,0,0.0,0.0,2460.0,0.8,0.25,0.09333333333333334,0.75,0.28708133971291866,0.13875598086124402,0.4466666666666667,0.5,,,
1c3c4861-95c6-42a5-9380-25db22cb1773,6.0,6.0,0,0,0.0,0.0,4561.0,0.8,0.25,0.09333333333333334,0.75,0.28708133971291866,0.13875598086124402,0.4466666666666667,0.5,,,
0fe03e9b-3bb0-4368-b749-8e9e3d5c49d2,6.0,6.0,1,0,0.0,0.0,3965.0,0.8,0.25,0.09333333333333334,0.75,0.28708133971291866,0.13875598086124402,0.4466666666666667,0.5,,,
0fe03e9b-3bb0-4368-b749-8e9e3d5c49d2,6.0,6.0,1,0,0.0,0.0,3312.0,0.8,0.25,0.09333333333333334,0.75,0.28708133971291866,0.13875598086124402,0.4466666666666667,0.5,,,
0fe03e9b-3bb0-4368-b749-8e9e3d5c49d2,6.0,6.0,1,0,0.0,0.0,2024.0,0.8,0.25,0.09333333333333334,0.75,0.28708133971291866,0.13875598086124402,0.4466666666666667,0.5,,,
0515c162-d4c4-4d6d-88d6-80d2de1765c9,6.0,6.0,0,0,0.0,0.0,572.0,0.8,0.25,0.09333333333333334,0.75,0.28708133971291866,0.13875598086124402,0.4466666666666667,0.5,,,
0515c162-d4c4-4d6d-88d6-80d2de1765c9,6.0,6.0,0,0,0.0,0.0,718.0,0.8,0.25,0.09333333333333334,0.75,0.28708133971291866,0.13875598086124402,0.4466666666666667,0.5,,,
0515c162-d4c4-4d6d-88d6-80d2de1765c9,6.0,6.0,0,0,0.0,0.0,615.0,0.8,0.25,0.09333333333333334,0.75,0.28708133971291866,0.13875598086124402,0.4466666666666667,0.5,,,
320c3ad2-b2ad-4b68-81b8-648f6021ea3d,6.0,6.0,1,0,0.0,0.0,4457.0,0.8,0.25,0.09333333333333334,0.75,0.28708133971291866,0.13875598086124402,0.4466666666666667,0.5,,,
320c3ad2-b2ad-4b68-81b8-648f6021ea3d,6.0,6.0,1,0,0.0,0.0,2681.0,0.8,0.25,0.09333333333333334,0.75,0.28708133971291866,0.13875598086124402,0.4466666666666667,0.5,,,
320c3ad2-b2ad-4b68-81b8-648f6021ea3d,6.0,6.0,1,0,0.0,0.0,1583.0,0.8,0.25,0.09333333333333334,0.75,0.28708133971291866,0.13875598086124402,0.4466666666666667,0.5,,,
9f4864a0-f288-4233-97bb-7895ea53da8d,6.0,6.0,0,0,0.0,0.0,1743.0,0.8,0.25,0.09333333333333334,0.75,0.28708133971291866,0.13875598086124402,0.4466666666666667,0.5,,,
9f4864a0-f288-4233-97bb-7895ea53da8d,6.0,6.0,1,0,0.0,0.0,1797.0,0.8,0.25,0.09333333333333334,0.75,0.28708133971291866,0.13875598086124402,0.4466666666666667,0.5,,,
9f4864a0-f288-4233-97bb-7895ea53da8d,6.0,6.0,0,0,0.0,0.0,2468.0,0.8,0.25,0.09333333333333334,0.75,0.28708133971291866,0.13875598086124402,0.4466666666666667,0.5,,,
664ded3d-fe75-41d7-8a08-2596a5bf2484,6.0,6.0,1,0,0.0,0.0,29974.0,0.8,0.25,0.09333333333333334,0.75,0.28708133971291866,0.13875598086124402,0.4466666666666667,0.5,,,
664ded3d-fe75-41d7-8a08-2596a5bf2484,6.0,6.0,1,0,0.0,0.0,4352.0,0.8,0.25,0.09333333333333334,0.75,0.28708133971291866,0.13875598086124402,0.4466666666666667,0.5,,,
664ded3d-fe75-41d7-8a08-2596a5bf2484,6.0,6.0,1,0,0.0,0.0,5486.0,0.8,0.25,0.09333333333333334,0.75,0.28708133971291866,0.13875598086124402,0.4466666666666667,0.5,,,
306418c8-50f7-49c0-ac38-5eb3399b6a86,6.0,6.0,0,0,0.0,0.0,6608.0,0.8,0.25,0.09333333333333334,0.75,0.28708133971291866,0.13875598086124402,0.4466666666666667,0.5,,,
306418c8-50f7-49c0-ac38-5eb3399b6a86,6.0,6.0,1,0,0.0,0.0,9200.0,0.8,0.25,0.09333333333333334,0.75,0.28708133971291866,0.13875598086124402,0.4466666666666667,0.5,,,
306418c8-50f7-49c0-ac38-5eb3399b6a86,6.0,6.0,1,0,0.0,0.0,17035.0,0.8,0.25,0.09333333333333334,0.75,0.28708133971291866,0.13875598086124402,0.4466666666666667,0.5,,,
d74af97c-a382-4c34-9edb-a5864ebe3b0e,6.0,6.0,1,0,0.0,0.0,3986.0,0.8,0.25,0.09333333333333334,0.75,0.28708133971291866,0.13875598086124402,0.4466666666666667,0.5,,,
d74af97c-a382-4c34-9edb-a5864ebe3b0e,6.0,6.0,1,0,0.0,0.0,2275.0,0.8,0.25,0.09333333333333334,0.75,0.28708133971291866,0.13875598086124402,0.4466666666666667,0.5,,,
d74af97c-a382-4c34-9edb-a5864ebe3b0e,6.0,6.0,1,0,0.0,0.0,1653.0,0.8,0.25,0.09333333333333334,0.75,0.28708133971291866,0.13875598086124402,0.4466666666666667,0.5,,,
86117b72-b50c-4fb3-ba28-64a3ade786ac,6.0,6.0,0,0,0.0,0.0,7997.0,0.8,0.25,0.09333333333333334,0.75,0.28708133971291866,0.13875598086124402,0.4466666666666667,0.5,,,
86117b72-b50c-4fb3-ba28-64a3ade786ac,6.0,6.0,0,0,0.0,0.0,4716.0,0.8,0.25,0.09333333333333334,0.75,0.28708133971291866,0.13875598086124402,0.4466666666666667,0.5,,,
86117b72-b50c-4fb3-ba28-64a3ade786ac,6.0,6.0,0,0,0.0,0.0,3526.0,0.8,0.25,0.09333333333333334,0.75,0.28708133971291866,0.13875598086124402,0.4466666666666667,0.5,,,
1a080826-2398-4f43-ab82-e5d0240eedcb,6.0,6.0,0,0,0.0,0.0,3372.0,0.8,0.25,0.09333333333333334,0.75,0.28708133971291866,0.13875598086124402,0.4466666666666667,0.5,,,
1a080826-2398-4f43-ab82-e5d0240eedcb,6.0,6.0,1,0,0.0,0.0,3913.0,0.8,0.25,0.09333333333333334,0.75,0.28708133971291866,0.13875598086124402,0.4466666666666667,0.5,,,
1a080826-2398-4f43-ab82-e5d0240eedcb,6.0,6.0,1,0,0.0,0.0,2098.0,0.8,0.25,0.09333333333333334,0.75,0.28708133971291866,0.13875598086124402,0.4466666666666667,0.5,,,
197816d4-72ff-406a-aa8d-71f44d0031f7,6.0,6.0,0,0,0.0,0.0,3744.0,0.8,0.25,0.09333333333333334,0.75,0.28708133971291866,0.13875598086124402,0.4466666666666667,0.5,,,
197816d4-72ff-406a-aa8d-71f44d0031f7,6.0,6.0,1,0,0.0,0.0,1855.0,0.8,0.25,0.09333333333333334,0.75,0.28708133971291866,0.13875598086124402,0.4466666666666667,0.5,,,
197816d4-72ff-406a-aa8d-71f44d0031f7,6.0,6.0,1,0,0.0,0.0,2047.0,0.8,0.25,0.09333333333333334,0.75,0.28708133971291866,0.13875598086124402,0.4466666666666667,0.5,,,
e0a357de-392a-4b4a-8b50-455f6c02a010,6.0,6.0,1,0,0.0,0.0,3121.0,0.8,0.25,0.09333333333333334,0.75,0.28708133971291866,0.13875598086124402,0.4466666666666667,0.5,,,
e0a357de-392a-4b4a-8b50-455f6c02a010,6.0,6.0,1,0,0.0,0.0,2704.0,0.8,0.25,0.09333333333333334,0.75,0.28708133971291866,0.13875598086124402,0.4466666666666667,0.5,,,
e0a357de-392a-4b4a-8b50-455f6c02a010,6.0,6.0,1,0,0.0,0.0,1329.0,0.8,0.25,0.09333333333333334,0.75,0.28708133971291866,0.13875598086124402,0.4466666666666667,0.5,,,
ded44fbb-aae9-4fec-bc39-d4ac87c2aaee,6.0,6.0,1,0,0.0,0.0,4548.0,0.8,0.25,0.09333333333333334,0.75,0.28708133971291866,0.13875598086124402,0.4466666666666667,0.5,,,
