subject_id,binary_id,trinary_id,actual_choice,target_choice,trinary_group,catch,decoy_choice,competitor_choice,rt
68a31890-b93c-41a2-96ee-e4992eedaa7d,9.0,9.0,A,1,1,0.0,0,0,6371.0
68a31890-b93c-41a2-96ee-e4992eedaa7d,9.0,9.0,A,1,1,0.0,0,0,4401.0
3aef7628-6e8a-41a0-8bec-3f3beeb86c4b,9.0,9.0,B,0,1,0.0,0,1,5664.0
3aef7628-6e8a-41a0-8bec-3f3beeb86c4b,9.0,9.0,A,1,1,0.0,0,0,5762.0
3aef7628-6e8a-41a0-8bec-3f3beeb86c4b,9.0,9.0,B,0,1,0.0,0,1,1524.0
f6bc85fd-64e6-47fb-bc9c-79fe31547834,9.0,9.0,A,1,1,0.0,0,0,2648.0
f6bc85fd-64e6-47fb-bc9c-79fe31547834,9.0,9.0,A,1,1,0.0,0,0,5718.0
f6bc85fd-64e6-47fb-bc9c-79fe31547834,9.0,9.0,A,1,1,0.0,0,0,4379.0
2212f72e-a3dc-47f4-b922-1afcdaa05668,9.0,9.0,B,0,1,0.0,0,1,2450.0
2212f72e-a3dc-47f4-b922-1afcdaa05668,9.0,9.0,A,1,1,0.0,0,0,4033.0
2212f72e-a3dc-47f4-b922-1afcdaa05668,9.0,9.0,A,1,1,0.0,0,0,2837.0
306d960c-8919-4e56-8baa-c540b885f4f0,9.0,9.0,B,0,0,0.0,0,1,1674.0
306d960c-8919-4e56-8baa-c540b885f4f0,9.0,9.0,A,1,0,0.0,0,0,1161.0
306d960c-8919-4e56-8baa-c540b885f4f0,9.0,9.0,A,1,0,0.0,0,0,1214.0
000a21dc-1f4d-4f9b-a337-ec28fddb1d57,9.0,9.0,A,1,1,0.0,0,0,19078.0
000a21dc-1f4d-4f9b-a337-ec28fddb1d57,9.0,9.0,B,0,1,0.0,0,1,3752.0
000a21dc-1f4d-4f9b-a337-ec28fddb1d57,9.0,9.0,B,0,1,0.0,0,1,3955.0
d0807655-65b7-4b1c-a4a9-d50d08913131,9.0,9.0,B,0,1,0.0,0,1,3945.0
d0807655-65b7-4b1c-a4a9-d50d08913131,9.0,9.0,B,0,1,0.0,0,1,5848.0
d0807655-65b7-4b1c-a4a9-d50d08913131,9.0,9.0,B,0,1,0.0,0,1,9092.0
6fddb33e-a9eb-4910-832f-990280fae844,9.0,9.0,B,0,0,0.0,0,1,6987.0
6fddb33e-a9eb-4910-832f-990280fae844,9.0,9.0,B,0,0,0.0,0,1,3823.0
6fddb33e-a9eb-4910-832f-990280fae844,9.0,9.0,B,0,0,0.0,0,1,2850.0
eee6843a-0aed-46f2-8001-2a382bf702b6,9.0,9.0,A,1,1,0.0,0,0,5364.0
eee6843a-0aed-46f2-8001-2a382bf702b6,9.0,9.0,A,1,1,0.0,0,0,4623.0
eee6843a-0aed-46f2-8001-2a382bf702b6,9.0,9.0,A,1,1,0.0,0,0,6222.0
23e4e6c8-96b3-4791-b8dc-05b9530d7211,9.0,9.0,A,1,0,0.0,0,0,3452.0
23e4e6c8-96b3-4791-b8dc-05b9530d7211,9.0,9.0,A,1,0,0.0,0,0,1687.0
23e4e6c8-96b3-4791-b8dc-05b9530d7211,9.0,9.0,A,1,0,0.0,0,0,3243.0
b06b759d-7bc3-44b3-ac5f-72bfa44f8e6f,9.0,9.0,B,0,0,0.0,0,1,2345.0
b06b759d-7bc3-44b3-ac5f-72bfa44f8e6f,9.0,9.0,A,1,0,0.0,0,0,3660.0
b06b759d-7bc3-44b3-ac5f-72bfa44f8e6f,9.0,9.0,B,0,0,0.0,0,1,4014.0
7f07e2d3-9e78-458f-b93e-0fbedbd173fd,9.0,9.0,B,0,1,0.0,0,1,3560.0
7f07e2d3-9e78-458f-b93e-0fbedbd173fd,9.0,9.0,B,0,1,0.0,0,1,8869.0
7f07e2d3-9e78-458f-b93e-0fbedbd173fd,9.0,9.0,A,1,1,0.0,0,0,3120.0
afbc429c-ea6f-444e-b924-866a4df3f8d4,9.0,9.0,B,0,0,0.0,0,1,3959.0
afbc429c-ea6f-444e-b924-866a4df3f8d4,9.0,9.0,B,0,0,0.0,0,1,2281.0
afbc429c-ea6f-444e-b924-866a4df3f8d4,9.0,9.0,B,0,0,0.0,0,1,2366.0
3952a5d5-ec13-4328-b604-6958480e84d8,9.0,9.0,A,1,1,0.0,0,0,4266.0
3952a5d5-ec13-4328-b604-6958480e84d8,9.0,9.0,B,0,1,0.0,0,1,3871.0
3952a5d5-ec13-4328-b604-6958480e84d8,9.0,9.0,B,0,1,0.0,0,1,6223.0
1431fec5-c2d2-481c-9eea-142efd404d61,9.0,9.0,A,1,1,0.0,0,0,5936.0
1431fec5-c2d2-481c-9eea-142efd404d61,9.0,9.0,A,1,1,0.0,0,0,3144.0
1431fec5-c2d2-481c-9eea-142efd404d61,9.0,9.0,A,1,1,0.0,0,0,3946.0
c485716c-e631-43bd-8393-1f3ce811240f,9.0,9.0,A,1,0,0.0,0,0,4444.0
c485716c-e631-43bd-8393-1f3ce811240f,9.0,9.0,A,1,0,0.0,0,0,3108.0
c485716c-e631-43bd-8393-1f3ce811240f,9.0,9.0,A,1,0,0.0,0,0,2620.0
8f7cbfba-4a71-49e1-ad8a-3dbd13a8714c,9.0,9.0,B,0,0,0.0,0,1,1727.0
8f7cbfba-4a71-49e1-ad8a-3dbd13a8714c,9.0,9.0,B,0,0,0.0,0,1,3644.0
8f7cbfba-4a71-49e1-ad8a-3dbd13a8714c,9.0,9.0,A,1,0,0.0,0,0,6363.0
e945a69c-3c1d-47e5-8dcc-c414004fbdc8,9.0,9.0,B,0,0,0.0,0,1,5241.0
e945a69c-3c1d-47e5-8dcc-c414004fbdc8,9.0,9.0,B,0,0,0.0,0,1,11249.0
e945a69c-3c1d-47e5-8dcc-c414004fbdc8,9.0,9.0,A,1,0,0.0,0,0,6655.0
