subject_id,binary_id,trinary_id,target_choice,trinary_group,catch
dc901693-8b5c-4361-b621-ae6a49ce235d,16.0,16.0,0,0,0.0
dc901693-8b5c-4361-b621-ae6a49ce235d,16.0,16.0,0,0,0.0
0e23e416-a1ce-4372-aa1d-a68695ae5df5,16.0,16.0,1,0,0.0
0e23e416-a1ce-4372-aa1d-a68695ae5df5,16.0,16.0,1,0,0.0
0e23e416-a1ce-4372-aa1d-a68695ae5df5,16.0,16.0,1,0,0.0
23f0d474-21db-40ae-975c-dda11190e33a,16.0,16.0,0,1,0.0
23f0d474-21db-40ae-975c-dda11190e33a,16.0,16.0,0,1,0.0
23f0d474-21db-40ae-975c-dda11190e33a,16.0,16.0,0,1,0.0
8f7cbfba-4a71-49e1-ad8a-3dbd13a8714c,16.0,16.0,1,0,0.0
8f7cbfba-4a71-49e1-ad8a-3dbd13a8714c,16.0,16.0,1,0,0.0
8f7cbfba-4a71-49e1-ad8a-3dbd13a8714c,16.0,16.0,1,0,0.0
b64673f3-59e6-410c-a8fe-c110dc52c879,16.0,16.0,0,1,0.0
b64673f3-59e6-410c-a8fe-c110dc52c879,16.0,16.0,0,1,0.0
b64673f3-59e6-410c-a8fe-c110dc52c879,16.0,16.0,0,1,0.0
e9202174-8daa-4cbb-a128-44f6840870fb,16.0,16.0,1,1,0.0
e9202174-8daa-4cbb-a128-44f6840870fb,16.0,16.0,1,1,0.0
e9202174-8daa-4cbb-a128-44f6840870fb,16.0,16.0,1,1,0.0
3952a5d5-ec13-4328-b604-6958480e84d8,16.0,16.0,1,1,0.0
3952a5d5-ec13-4328-b604-6958480e84d8,16.0,16.0,0,1,0.0
3952a5d5-ec13-4328-b604-6958480e84d8,16.0,16.0,0,1,0.0
f6bc85fd-64e6-47fb-bc9c-79fe31547834,16.0,16.0,0,1,0.0
f6bc85fd-64e6-47fb-bc9c-79fe31547834,16.0,16.0,0,1,0.0
f6bc85fd-64e6-47fb-bc9c-79fe31547834,16.0,16.0,1,1,0.0
f3f4c9c6-1414-4b66-91ed-6a5bc6933887,16.0,16.0,0,1,0.0
f3f4c9c6-1414-4b66-91ed-6a5bc6933887,16.0,16.0,0,1,0.0
f3f4c9c6-1414-4b66-91ed-6a5bc6933887,16.0,16.0,0,1,0.0
f0c1d36b-8865-48bb-84c6-e0a67079d0c1,16.0,16.0,1,1,0.0
f0c1d36b-8865-48bb-84c6-e0a67079d0c1,16.0,16.0,1,1,0.0
f0c1d36b-8865-48bb-84c6-e0a67079d0c1,16.0,16.0,1,1,0.0
9b7d72d7-d6e7-4718-8e0b-95ee0fd6cc3f,16.0,16.0,1,0,0.0
9b7d72d7-d6e7-4718-8e0b-95ee0fd6cc3f,16.0,16.0,1,0,0.0
9b7d72d7-d6e7-4718-8e0b-95ee0fd6cc3f,16.0,16.0,1,0,0.0
3c47eb2e-4d12-4c97-9e9d-433d49382f36,16.0,16.0,0,1,0.0
3c47eb2e-4d12-4c97-9e9d-433d49382f36,16.0,16.0,0,1,0.0
3c47eb2e-4d12-4c97-9e9d-433d49382f36,16.0,16.0,0,1,0.0
471924a9-ee50-4f6a-a87f-cb56913a24c3,16.0,16.0,1,1,0.0
471924a9-ee50-4f6a-a87f-cb56913a24c3,16.0,16.0,0,1,0.0
471924a9-ee50-4f6a-a87f-cb56913a24c3,16.0,16.0,0,1,0.0
d185a752-95e5-41b9-9923-1be62c42d5ca,16.0,16.0,0,1,0.0
d185a752-95e5-41b9-9923-1be62c42d5ca,16.0,16.0,0,1,0.0
d185a752-95e5-41b9-9923-1be62c42d5ca,16.0,16.0,1,1,0.0
859cd32e-1a86-486f-9329-4b6f28585b9e,16.0,16.0,1,0,0.0
859cd32e-1a86-486f-9329-4b6f28585b9e,16.0,16.0,1,0,0.0
859cd32e-1a86-486f-9329-4b6f28585b9e,16.0,16.0,1,0,0.0
2ceaea9e-daa3-4a04-924f-85cb92a5ef04,16.0,16.0,0,0,0.0
2ceaea9e-daa3-4a04-924f-85cb92a5ef04,16.0,16.0,1,0,0.0
2ceaea9e-daa3-4a04-924f-85cb92a5ef04,16.0,16.0,0,0,0.0
4b4fb6c0-3507-41fe-8d83-98d3a6c95618,16.0,16.0,0,0,0.0
4b4fb6c0-3507-41fe-8d83-98d3a6c95618,16.0,16.0,0,0,0.0
4b4fb6c0-3507-41fe-8d83-98d3a6c95618,16.0,16.0,0,0,0.0
485281f9-3957-47f4-bf4a-97d497934f97,16.0,16.0,0,1,0.0
485281f9-3957-47f4-bf4a-97d497934f97,16.0,16.0,0,1,0.0
485281f9-3957-47f4-bf4a-97d497934f97,16.0,16.0,0,1,0.0
e59cfa13-2515-44e3-a0bd-39b5674668d1,16.0,16.0,1,0,0.0
e59cfa13-2515-44e3-a0bd-39b5674668d1,16.0,16.0,0,0,0.0
e59cfa13-2515-44e3-a0bd-39b5674668d1,16.0,16.0,0,0,0.0
d74af97c-a382-4c34-9edb-a5864ebe3b0e,16.0,16.0,0,0,0.0
d74af97c-a382-4c34-9edb-a5864ebe3b0e,16.0,16.0,0,0,0.0
d74af97c-a382-4c34-9edb-a5864ebe3b0e,16.0,16.0,1,0,0.0
68a31890-b93c-41a2-96ee-e4992eedaa7d,16.0,16.0,0,1,0.0
68a31890-b93c-41a2-96ee-e4992eedaa7d,16.0,16.0,0,1,0.0
68a31890-b93c-41a2-96ee-e4992eedaa7d,16.0,16.0,0,1,0.0
e98db0fa-cbd1-4415-ab8b-41b6226373b8,16.0,16.0,1,0,0.0
e98db0fa-cbd1-4415-ab8b-41b6226373b8,16.0,16.0,0,0,0.0
e98db0fa-cbd1-4415-ab8b-41b6226373b8,16.0,16.0,0,0,0.0
3aef7628-6e8a-41a0-8bec-3f3beeb86c4b,16.0,16.0,1,1,0.0
3aef7628-6e8a-41a0-8bec-3f3beeb86c4b,16.0,16.0,1,1,0.0
3aef7628-6e8a-41a0-8bec-3f3beeb86c4b,16.0,16.0,1,1,0.0
d492e1fc-ffbf-4941-9011-3b1a4a7b9bbf,16.0,16.0,0,1,0.0
d492e1fc-ffbf-4941-9011-3b1a4a7b9bbf,16.0,16.0,0,1,0.0
d492e1fc-ffbf-4941-9011-3b1a4a7b9bbf,16.0,16.0,0,1,0.0
197816d4-72ff-406a-aa8d-71f44d0031f7,16.0,16.0,1,0,0.0
197816d4-72ff-406a-aa8d-71f44d0031f7,16.0,16.0,1,0,0.0
197816d4-72ff-406a-aa8d-71f44d0031f7,16.0,16.0,1,0,0.0
0b862812-4eae-4433-9381-864ef3a2b073,16.0,16.0,0,1,0.0
0b862812-4eae-4433-9381-864ef3a2b073,16.0,16.0,1,1,0.0
0b862812-4eae-4433-9381-864ef3a2b073,16.0,16.0,0,1,0.0
c0030ba8-6aa7-41eb-ac56-36bbce26411d,16.0,16.0,1,1,0.0
c0030ba8-6aa7-41eb-ac56-36bbce26411d,16.0,16.0,1,1,0.0
c0030ba8-6aa7-41eb-ac56-36bbce26411d,16.0,16.0,0,1,0.0
9eae6b8f-2579-4b67-bd55-3ddef3c1e4fd,16.0,16.0,1,0,0.0
9eae6b8f-2579-4b67-bd55-3ddef3c1e4fd,16.0,16.0,1,0,0.0
9eae6b8f-2579-4b67-bd55-3ddef3c1e4fd,16.0,16.0,1,0,0.0
6c06767d-0888-4cae-a531-fd9c338ac0a5,16.0,16.0,1,0,0.0
6c06767d-0888-4cae-a531-fd9c338ac0a5,16.0,16.0,1,0,0.0
6c06767d-0888-4cae-a531-fd9c338ac0a5,16.0,16.0,0,0,0.0
828dcae6-9f2a-4cba-b249-0a95d2887eea,16.0,16.0,1,0,0.0
828dcae6-9f2a-4cba-b249-0a95d2887eea,16.0,16.0,1,0,0.0
828dcae6-9f2a-4cba-b249-0a95d2887eea,16.0,16.0,0,0,0.0
