,subject_id,binary_id,trinary_id,target_choice,trinary_group,catch,actual_choice,decoy_choice,competitor_choice,rt,amountA,probA,amountB,probB,EVA,EVB,avg_amounts,avg_probs,amountC,probC,EVC
33,c0eec679-0e2d-40b6-946a-bc307eeeb08a,1.0,1.0,0,0,0.0,B,0.0,1.0,5468.0,0.4666666666666667,0.65,0.8,0.5,0.4660287081339713,0.5933014354066986,0.6333333333333333,0.575,,,
34,c0eec679-0e2d-40b6-946a-bc307eeeb08a,1.0,1.0,1,0,0.0,A,0.0,0.0,18957.0,0.4666666666666667,0.65,0.8,0.5,0.4660287081339713,0.5933014354066986,0.6333333333333333,0.575,,,
35,c0eec679-0e2d-40b6-946a-bc307eeeb08a,1.0,1.0,1,0,0.0,A,0.0,0.0,10906.0,0.4666666666666667,0.65,0.8,0.5,0.4660287081339713,0.5933014354066986,0.6333333333333333,0.575,,,
36,752e648a-0cfe-4ee3-a6ee-7aecd4d10ca1,1.0,1.0,0,0,0.0,B,0.0,1.0,6811.0,0.4666666666666667,0.65,0.8,0.5,0.4660287081339713,0.5933014354066986,0.6333333333333333,0.575,,,
37,752e648a-0cfe-4ee3-a6ee-7aecd4d10ca1,1.0,1.0,0,0,0.0,B,0.0,1.0,1208.0,0.4666666666666667,0.65,0.8,0.5,0.4660287081339713,0.5933014354066986,0.6333333333333333,0.575,,,
38,752e648a-0cfe-4ee3-a6ee-7aecd4d10ca1,1.0,1.0,0,0,0.0,B,0.0,1.0,1967.0,0.4666666666666667,0.65,0.8,0.5,0.4660287081339713,0.5933014354066986,0.6333333333333333,0.575,,,
39,db807547-e7a4-44fa-87cb-6be1690610f0,1.0,1.0,0,0,0.0,B,0.0,1.0,2813.0,0.4666666666666667,0.65,0.8,0.5,0.4660287081339713,0.5933014354066986,0.6333333333333333,0.575,,,
40,db807547-e7a4-44fa-87cb-6be1690610f0,1.0,1.0,1,0,0.0,A,0.0,0.0,5269.0,0.4666666666666667,0.65,0.8,0.5,0.4660287081339713,0.5933014354066986,0.6333333333333333,0.575,,,
41,db807547-e7a4-44fa-87cb-6be1690610f0,1.0,1.0,0,0,0.0,B,0.0,1.0,1820.0,0.4666666666666667,0.65,0.8,0.5,0.4660287081339713,0.5933014354066986,0.6333333333333333,0.575,,,
42,d1e00293-27c1-4c36-bc26-c1a719a35f3d,1.0,1.0,0,0,0.0,B,0.0,1.0,2872.0,0.4666666666666667,0.65,0.8,0.5,0.4660287081339713,0.5933014354066986,0.6333333333333333,0.575,,,
43,d1e00293-27c1-4c36-bc26-c1a719a35f3d,1.0,1.0,0,0,0.0,B,0.0,1.0,3039.0,0.4666666666666667,0.65,0.8,0.5,0.4660287081339713,0.5933014354066986,0.6333333333333333,0.575,,,
44,d1e00293-27c1-4c36-bc26-c1a719a35f3d,1.0,1.0,1,0,0.0,A,0.0,0.0,1588.0,0.4666666666666667,0.65,0.8,0.5,0.4660287081339713,0.5933014354066986,0.6333333333333333,0.575,,,
45,1c3c4861-95c6-42a5-9380-25db22cb1773,1.0,1.0,0,0,0.0,B,0.0,1.0,2351.0,0.4666666666666667,0.65,0.8,0.5,0.4660287081339713,0.5933014354066986,0.6333333333333333,0.575,,,
46,1c3c4861-95c6-42a5-9380-25db22cb1773,1.0,1.0,1,0,0.0,A,0.0,0.0,2465.0,0.4666666666666667,0.65,0.8,0.5,0.4660287081339713,0.5933014354066986,0.6333333333333333,0.575,,,
47,1c3c4861-95c6-42a5-9380-25db22cb1773,1.0,1.0,0,0,0.0,B,0.0,1.0,4339.0,0.4666666666666667,0.65,0.8,0.5,0.4660287081339713,0.5933014354066986,0.6333333333333333,0.575,,,
48,0fe03e9b-3bb0-4368-b749-8e9e3d5c49d2,1.0,1.0,0,0,0.0,B,0.0,1.0,3246.0,0.4666666666666667,0.65,0.8,0.5,0.4660287081339713,0.5933014354066986,0.6333333333333333,0.575,,,
49,0fe03e9b-3bb0-4368-b749-8e9e3d5c49d2,1.0,1.0,0,0,0.0,B,0.0,1.0,4307.0,0.4666666666666667,0.65,0.8,0.5,0.4660287081339713,0.5933014354066986,0.6333333333333333,0.575,,,
50,0fe03e9b-3bb0-4368-b749-8e9e3d5c49d2,1.0,1.0,0,0,0.0,B,0.0,1.0,6715.0,0.4666666666666667,0.65,0.8,0.5,0.4660287081339713,0.5933014354066986,0.6333333333333333,0.575,,,
51,0515c162-d4c4-4d6d-88d6-80d2de1765c9,1.0,1.0,1,0,0.0,A,0.0,0.0,816.0,0.4666666666666667,0.65,0.8,0.5,0.4660287081339713,0.5933014354066986,0.6333333333333333,0.575,,,
52,0515c162-d4c4-4d6d-88d6-80d2de1765c9,1.0,1.0,1,0,0.0,A,0.0,0.0,1190.0,0.4666666666666667,0.65,0.8,0.5,0.4660287081339713,0.5933014354066986,0.6333333333333333,0.575,,,
53,0515c162-d4c4-4d6d-88d6-80d2de1765c9,1.0,1.0,1,0,0.0,A,0.0,0.0,870.0,0.4666666666666667,0.65,0.8,0.5,0.4660287081339713,0.5933014354066986,0.6333333333333333,0.575,,,
54,320c3ad2-b2ad-4b68-81b8-648f6021ea3d,1.0,1.0,0,0,0.0,B,0.0,1.0,3071.0,0.4666666666666667,0.65,0.8,0.5,0.4660287081339713,0.5933014354066986,0.6333333333333333,0.575,,,
55,320c3ad2-b2ad-4b68-81b8-648f6021ea3d,1.0,1.0,0,0,0.0,B,0.0,1.0,4375.0,0.4666666666666667,0.65,0.8,0.5,0.4660287081339713,0.5933014354066986,0.6333333333333333,0.575,,,
56,320c3ad2-b2ad-4b68-81b8-648f6021ea3d,1.0,1.0,0,0,0.0,B,0.0,1.0,5365.0,0.4666666666666667,0.65,0.8,0.5,0.4660287081339713,0.5933014354066986,0.6333333333333333,0.575,,,
57,9f4864a0-f288-4233-97bb-7895ea53da8d,1.0,1.0,1,0,0.0,A,0.0,0.0,1961.0,0.4666666666666667,0.65,0.8,0.5,0.4660287081339713,0.5933014354066986,0.6333333333333333,0.575,,,
58,9f4864a0-f288-4233-97bb-7895ea53da8d,1.0,1.0,1,0,0.0,A,0.0,0.0,1879.0,0.4666666666666667,0.65,0.8,0.5,0.4660287081339713,0.5933014354066986,0.6333333333333333,0.575,,,
59,9f4864a0-f288-4233-97bb-7895ea53da8d,1.0,1.0,1,0,0.0,A,0.0,0.0,2213.0,0.4666666666666667,0.65,0.8,0.5,0.4660287081339713,0.5933014354066986,0.6333333333333333,0.575,,,
60,664ded3d-fe75-41d7-8a08-2596a5bf2484,1.0,1.0,1,0,0.0,A,0.0,0.0,2283.0,0.4666666666666667,0.65,0.8,0.5,0.4660287081339713,0.5933014354066986,0.6333333333333333,0.575,,,
61,664ded3d-fe75-41d7-8a08-2596a5bf2484,1.0,1.0,0,0,0.0,B,0.0,1.0,3347.0,0.4666666666666667,0.65,0.8,0.5,0.4660287081339713,0.5933014354066986,0.6333333333333333,0.575,,,
62,664ded3d-fe75-41d7-8a08-2596a5bf2484,1.0,1.0,0,0,0.0,B,0.0,1.0,3946.0,0.4666666666666667,0.65,0.8,0.5,0.4660287081339713,0.5933014354066986,0.6333333333333333,0.575,,,
